,StreamID,Brick,count,first_t,last_t,mean,std,min,q1,median,q3,max,nUnique
371,c118b4d7_f3e6_4812_9262_ad29ffd54d17,Point,145725,2021-01-01T00:03:08.690Z,2023-12-31T23:51:53.679Z,0,0,0,0,0,0,0,1
372,763a4142_1801_4949_8938_8d3139541052,Point,145385,2021-01-01T00:03:08.722Z,2023-12-31T23:51:53.742Z,0,0,0,0,0,0,0,1
382,186704a4_285b_45ba_a0dc_38b289401e9b,Mode_Command,145198,2021-01-01T00:03:08.951Z,2023-12-31T23:51:54.252Z,0,0,0,0,0,0,0,1
384,a33d438e_c1b7_49ab_a0cd_48a3a87a9e48,Reset_Command,145376,2021-01-01T00:03:08.990Z,2023-12-31T23:51:54.331Z,0,0,0,0,0,0,0,1
391,e563effc_565a_4244_a12c_43f23093d4fe,Mode_Command,145283,2021-01-01T00:03:09.158Z,2023-12-31T23:51:54.758Z,0,0,0,0,0,0,0,1
416,3ee9ce5d_006c_4905_b410_10f7ba57ba12,Enable_Status,145175,2021-01-01T00:03:09.766Z,2023-12-31T23:51:55.753Z,0,0,0,0,0,0,0,1
421,ea0c677a_2e24_4e28_8d2c_0d3de7a3b1be,Point,145129,2021-01-01T00:03:09.858Z,2023-12-31T23:51:55.904Z,0,0,0,0,0,0,0,1
422,ad2ef22c_f72b_49b9_becb_4d212737558d,Point,145106,2021-01-01T00:03:09.879Z,2023-12-31T23:51:55.939Z,0,0,0,0,0,0,0,1
483,54d6551c_ee4b_48a2_9986_a9430348abc5,System_Status,145134,2021-01-01T00:03:10.905Z,2023-12-31T23:51:57.634Z,0,0,0,0,0,0,0,1
498,d2a1adf3_b2d7_4fd2_b186_7aa9f02393f5,Cooling_Demand_Sensor,144997,2021-01-01T00:03:11.073Z,2023-12-31T23:51:57.951Z,0,0,0,0,0,0,0,1
502,d23493cb_ae9d_4402_9f22_bb41d9f35697,Cooling_Command,144884,2021-01-01T00:03:11.117Z,2023-12-31T23:51:58.015Z,0,0,0,0,0,0,0,1
503,09507f19_2973_4140_8e56_c40fc0a3eb89,Mode_Status,144976,2021-01-01T00:03:11.129Z,2023-12-31T23:51:58.030Z,0,0,0,0,0,0,0,1
507,e53e4237_11e5_4540_a661_6fb6c56175b3,Temperature_Parameter,144770,2021-01-01T00:03:11.377Z,2023-12-31T23:51:58.393Z,0,0,0,0,0,0,0,1
508,720e338b_e716_4fc4_b3d0_0d5365810248,Temperature_Parameter,144618,2021-01-01T00:03:11.387Z,2023-12-31T23:51:58.407Z,0,0,0,0,0,0,0,1
509,74380a4f_8711_4ec3_a998_89ea73bb79ef,Temperature_Parameter,144702,2021-01-01T00:03:11.399Z,2023-12-31T23:51:58.420Z,0,0,0,0,0,0,0,1
510,a77c6752_5d77_4c68_9276_c140dce06bd8,Temperature_Parameter,144492,2021-01-01T00:03:11.410Z,2023-12-31T23:51:58.434Z,0,0,0,0,0,0,0,1
511,9b817310_cf85_44bf_bade_f23a09f219f5,Temperature_Parameter,144577,2021-01-01T00:03:11.419Z,2023-12-31T23:51:58.448Z,0,0,0,0,0,0,0,1
512,5889cad4_b62d_43d0_9c82_fc18bb1bd7bc,Temperature_Parameter,144596,2021-01-01T00:03:11.431Z,2023-12-31T23:51:58.462Z,0,0,0,0,0,0,0,1
514,e81c7a56_d6f0_4b0d_85b8_69f4b08429e6,Temperature_Parameter,143550,2021-01-01T00:03:14.570Z,2023-12-31T23:52:03.014Z,0,0,0,0,0,0,0,1
515,2e3fb64b_4ceb_40ff_b19d_17c1836f8c37,Temperature_Parameter,143519,2021-01-01T00:03:14.580Z,2023-12-31T23:52:03.028Z,0,0,0,0,0,0,0,1
516,f71aaa70_ce0f_4bc0_9e80_611080a253b3,Temperature_Parameter,143770,2021-01-01T00:03:14.592Z,2023-12-31T23:52:03.042Z,0,0,0,0,0,0,0,1
518,9964a810_f5c5_44a5_bcbf_67697acc3987,Temperature_Parameter,143585,2021-01-01T00:03:14.507Z,2023-12-31T23:52:02.929Z,0,0,0,0,0,0,0,1
519,6a172353_cb12_4b12_80b6_c8649f46a399,Temperature_Parameter,143545,2021-01-01T00:03:14.517Z,2023-12-31T23:52:02.943Z,0,0,0,0,0,0,0,1
520,27718d38_38cc_4654_a19e_c2451d186176,Temperature_Parameter,143606,2021-01-01T00:03:14.527Z,2023-12-31T23:52:02.957Z,0,0,0,0,0,0,0,1
522,eb1f4b29_8cf0_4cf6_98f5_6207bae38b36,Temperature_Parameter,142822,2021-01-01T00:03:17.987Z,2023-12-31T23:52:08.432Z,0,0,0,0,0,0,0,1
523,01f9c23d_29d2_450d_ad4d_5f5ef965b4b0,Temperature_Parameter,142922,2021-01-01T00:03:17.997Z,2023-12-31T23:52:08.446Z,0,0,0,0,0,0,0,1
524,1c626054_c55f_4749_bf59_913ebeef5687,Temperature_Parameter,143011,2021-01-01T00:03:18.006Z,2023-12-31T23:52:08.464Z,0,0,0,0,0,0,0,1
526,01a1464a_0ff3_489b_92c0_0c4e150439dc,Temperature_Parameter,142929,2021-01-01T00:03:17.918Z,2023-12-31T23:52:08.344Z,0,0,0,0,0,0,0,1
527,ec850878_cdbc_493f_8562_544b1dcffeea,Temperature_Parameter,142982,2021-01-01T00:03:17.934Z,2023-12-31T23:52:08.360Z,0,0,0,0,0,0,0,1
528,8505af9f_fbfe_4c4c_8f65_afde6917e35d,Temperature_Parameter,142881,2021-01-01T00:03:17.945Z,2023-12-31T23:52:08.374Z,0,0,0,0,0,0,0,1
536,6708bc1c_a81c_406c_9796_23d81668a3d3,Point,144590,2021-01-01T00:03:12.120Z,2023-12-31T23:51:59.409Z,0,0,0,0,0,0,0,1
537,d734397b_0b5f_4f4f_a844_4136217037a4,Point,144708,2021-01-01T00:03:12.132Z,2023-12-31T23:51:59.425Z,0,0,0,0,0,0,0,1
547,8fa54d14_ccdf_4537_a7ad_66951165e4d6,Mode_Command,144567,2021-01-01T00:03:12.255Z,2023-12-31T23:51:59.591Z,0,0,0,0,0,0,0,1
549,c2299119_099a_4303_a9a1_6558bdeb9c4d,Reset_Command,144710,2021-01-01T00:03:12.278Z,2023-12-31T23:51:59.622Z,0,0,0,0,0,0,0,1
561,f78d9be8_3008_43ef_bfdb_037b7c4490b8,Mode_Command,144503,2021-01-01T00:03:12.425Z,2023-12-31T23:51:59.837Z,0,0,0,0,0,0,0,1
569,dd2914bd_cf1b_4d55_9438_dd3ee8266210,Point,144424,2021-01-01T00:03:12.520Z,2023-12-31T23:51:59.983Z,0,0,0,0,0,0,0,1
570,4ba3cfa5_45a0_45a5_8aff_b012b2846854,Point,144570,2021-01-01T00:03:12.532Z,2023-12-31T23:51:59.999Z,0,0,0,0,0,0,0,1
580,7a6ac413_5ddb_466a_9ae1_0b887ca84c04,Mode_Command,144382,2021-01-01T00:03:12.656Z,2023-12-31T23:52:00.174Z,0,0,0,0,0,0,0,1
582,3a087c14_6ced_4af0_b9c5_f5d1f825912c,Reset_Command,144578,2021-01-01T00:03:12.680Z,2023-12-31T23:52:00.207Z,0,0,0,0,0,0,0,1
594,d38703cc_2e6e_40a3_835d_d7c36f7d653b,Mode_Command,144394,2021-01-01T00:03:12.818Z,2023-12-31T23:52:00.426Z,0,0,0,0,0,0,0,1
602,410088e1_6fb7_44d4_b2f3_7ca6f2883383,Point,144303,2021-01-01T00:03:12.918Z,2023-12-31T23:52:00.557Z,0,0,0,0,0,0,0,1
603,00767c03_e4f1_4323_88db_4b3c5b048bd8,Point,144395,2021-01-01T00:03:12.930Z,2023-12-31T23:52:00.573Z,0,0,0,0,0,0,0,1
613,e91f4ad0_989b_427e_aa7b_9ac9d8a54543,Mode_Command,144253,2021-01-01T00:03:13.042Z,2023-12-31T23:52:00.741Z,0,0,0,0,0,0,0,1
615,19177032_972a_44c8_9c58_611c59d5df31,Reset_Command,144354,2021-01-01T00:03:13.065Z,2023-12-31T23:52:00.772Z,0,0,0,0,0,0,0,1
627,e35c6dbf_d24c_46b9_94d0_600f92134af1,Mode_Command,144223,2021-01-01T00:03:13.201Z,2023-12-31T23:52:00.981Z,0,0,0,0,0,0,0,1
635,c77d55b4_697c_4487_a36a_2717f43604dc,Point,143050,2021-01-01T00:03:17.596Z,2023-12-31T23:52:07.797Z,0,0,0,0,0,0,0,1
646,1f95f1d5_708a_46e6_86c4_e96b586650c6,Mode_Command,143086,2021-01-01T00:03:17.713Z,2023-12-31T23:52:08.000Z,0,0,0,0,0,0,0,1
648,fb220a7e_3082_44e9_929b_885001199fa5,Reset_Command,143159,2021-01-01T00:03:17.735Z,2023-12-31T23:52:08.036Z,0,0,0,0,0,0,0,1
660,e9a36f74_8882_4d65_a7cf_3126b6d59aa8,Mode_Command,143095,2021-01-01T00:03:17.865Z,2023-12-31T23:52:08.246Z,0,0,0,0,0,0,0,1
668,e8449989_e073_468a_ab2a_10c376f2b4cf,Point,143212,2021-01-01T00:03:17.215Z,2023-12-31T23:52:07.198Z,0,0,0,0,0,0,0,1
669,5c808e07_0a9c_47ac_bdab_45b4bea97be9,Point,143195,2021-01-01T00:03:17.226Z,2023-12-31T23:52:07.216Z,0,0,0,0,0,0,0,1
679,15384324_6bd2_416c_ac58_10874a4d3be4,Mode_Command,143150,2021-01-01T00:03:17.346Z,2023-12-31T23:52:07.393Z,0,0,0,0,0,0,0,1
681,2189ab4c_d8f5_435a_94b1_c64c304edb60,Reset_Command,143197,2021-01-01T00:03:17.366Z,2023-12-31T23:52:07.426Z,0,0,0,0,0,0,0,1
693,82127b54_d11f_4048_a039_29e9114b9364,Mode_Command,143142,2021-01-01T00:03:17.504Z,2023-12-31T23:52:07.646Z,0,0,0,0,0,0,0,1
701,4af1813e_7d65_43f7_8c7f_69b8fb4d7440,System_Status,145130,2021-01-01T00:03:11.142Z,2023-12-31T23:51:58.046Z,0,0,0,0,0,0,0,1
716,3058787c_07ef_4d8c_8214_872064f85f95,Heating_Demand_Sensor,144928,2021-01-01T00:03:11.313Z,2023-12-31T23:51:58.293Z,0,0,0,0,0,0,0,1
720,e16e016d_e13f_4077_a1f8_703c4a19d5a7,Heating_Command,144910,2021-01-01T00:03:11.356Z,2023-12-31T23:51:58.361Z,0,0,0,0,0,0,0,1
721,7274bab7_ada3_4c00_8d20_e84a8d33f995,Mode_Status,144594,2021-01-01T00:03:11.367Z,2023-12-31T23:51:58.376Z,0,0,0,0,0,0,0,1
0,3dfa2bab_f8f2_485b_80e9_5afdeeac9dc4,Temperature_Setpoint,143623,2021-01-01T00:03:14.602Z,2023-12-31T23:52:03.056Z,10.83057728,9.965447375,0,0,20,20,20,2
1,77ed01a5_11c3_4607_9bf8_342b947c88de,System_Enable_Command,143747,2021-01-01T00:03:14.613Z,2023-12-31T23:52:03.073Z,0.541040857,0.498312801,0,0,1,1,1,2
2,16b768f0_5fb1_4db3_b506_d811b7c67738,Proportional_Gain_Parameter,143652,2021-01-01T00:03:14.624Z,2023-12-31T23:52:03.089Z,5.414125804,4.982820468,0,0,10,10,10,2
10,bcdc4b0c_a939_4209_8b97_19338fa3aa94,Max_Temperature_Setpoint_Limit,143638,2021-01-01T00:03:14.721Z,2023-12-31T23:52:03.227Z,17.32689121,15.94488506,0,0,32,32,32,2
11,7ee07028_6c0c_4d1f_a868_9385bfa97884,Min_Temperature_Setpoint_Limit,143701,2021-01-01T00:03:14.732Z,2023-12-31T23:52:03.245Z,8.118315113,7.474468973,0,0,15,15,15,2
18,214836bc_229b_4cfe_930b_db3430b12f65,Enable_Status,143658,2021-01-01T00:03:14.814Z,2023-12-31T23:52:03.380Z,0.145567946,0.352672538,0,0,0,0,1,2
20,df8236b0_6ed6_4d78_91c6_1af723476015,Operating_Mode_Status,143653,2021-01-01T00:03:14.836Z,2023-12-31T23:52:03.419Z,0.541394889,0.498283517,0,0,1,1,1,2
25,58e9c3f3_0100_446a_b446_521ba738db46,Room_Air_Temperature_Setpoint,143675,2021-01-01T00:03:14.892Z,2023-12-31T23:52:03.516Z,11.90901688,10.96237603,0,0,22,22,22,2
26,3ab9c8c6_a8f3_42c6_a190_b9044d6b89d2,System_Status,143638,2021-01-01T00:03:14.904Z,2023-12-31T23:52:03.534Z,0.145581253,0.352685911,0,0,0,0,1,2
28,f9833afd_e8a3_437b_9031_f29b656c94f9,Temperature_Setpoint,143589,2021-01-01T00:03:14.927Z,2023-12-31T23:52:03.571Z,10.83300253,9.965244944,0,0,20,20,20,2
29,5f139913_01eb_4da2_8d6b_d79f7162156f,System_Enable_Command,143718,2021-01-01T00:03:14.939Z,2023-12-31T23:52:03.592Z,0.541163946,0.498302649,0,0,1,1,1,2
30,5d20c616_c2d5_42ac_a66e_3b4cf552dffc,Proportional_Gain_Parameter,143613,2021-01-01T00:03:14.949Z,2023-12-31T23:52:03.609Z,5.415735344,4.982686436,0,0,10,10,10,2
38,681ca5bb_7a35_417e_8094_71d0c24b4e38,Max_Temperature_Setpoint_Limit,143623,2021-01-01T00:03:15.039Z,2023-12-31T23:52:03.761Z,17.32914645,15.94469723,0,0,32,32,32,2
39,d8b8360a_3c22_4ea7_b7dc_c9e1880f0875,Min_Temperature_Setpoint_Limit,143697,2021-01-01T00:03:15.049Z,2023-12-31T23:52:03.780Z,8.11874987,7.474432995,0,0,15,15,15,2
43,e30eb7d4_25a1_4c7d_87a7_0634f63627f0,Mode_Command,143662,2021-01-01T00:03:15.094Z,2023-12-31T23:52:03.863Z,9.05E-05,0.009512202,0,0,0,0,1,2
46,0c61b304_729f_4175_a440_c3b7dcdf76da,Enable_Status,143618,2021-01-01T00:03:15.130Z,2023-12-31T23:52:03.925Z,0.145552786,0.352657302,0,0,0,0,1,2
48,6ce99ed6_5493_4b4f_8eb5_8768d1286034,Operating_Mode_Status,143557,2021-01-01T00:03:15.154Z,2023-12-31T23:52:03.965Z,0.541770865,0.49825214,0,0,1,1,1,2
53,67da0763_fcd4_4e68_85dd_3e3deac4f2ac,Room_Air_Temperature_Setpoint,143624,2021-01-01T00:03:15.210Z,2023-12-31T23:52:04.120Z,11.91339887,10.96201179,0,0,22,22,22,2
54,2964fb41_5e2b_4a60_a250_4a28d05dbfad,System_Status,143596,2021-01-01T00:03:15.220Z,2023-12-31T23:52:04.136Z,0.010606145,0.102438541,0,0,0,0,1,2
56,141b6d3e_2aaf_4872_81b2_e5be3e5e3b66,Temperature_Setpoint,143503,2021-01-01T00:03:15.244Z,2023-12-31T23:52:04.168Z,19.58202964,2.86089285,0,20,20,20,20,2
57,09b6788a_37b5_4563_86cc_ae1f77ed4ffe,System_Enable_Command,143615,2021-01-01T00:03:15.255Z,2023-12-31T23:52:04.183Z,0.97911778,0.142990044,0,1,1,1,1,2
58,23836eea_1970_4516_b9f4_1aa0e25cc495,Proportional_Gain_Parameter,143512,2021-01-01T00:03:15.266Z,2023-12-31T23:52:04.198Z,9.791027928,1.430402528,0,10,10,10,10,2
66,bea83970_cc30_4168_b7e0_3dc165043cbc,Max_Temperature_Setpoint_Limit,143549,2021-01-01T00:03:15.356Z,2023-12-31T23:52:04.339Z,31.33123881,4.577457432,0,32,32,32,32,2
67,1f1ed319_bd73_4acc_a68d_5a8247acbaf2,Min_Temperature_Setpoint_Limit,143636,2021-01-01T00:03:15.368Z,2023-12-31T23:52:04.356Z,14.68670807,2.145047121,0,15,15,15,15,2
71,3a5b84c8_5889_405a_a9e1_3eb4d31f0317,Mode_Command,143503,2021-01-01T00:03:15.412Z,2023-12-31T23:52:04.426Z,9.06E-05,0.00951747,0,0,0,0,1,2
74,a35cb628_b9c1_4962_a971_dae1001599c0,Enable_Status,143597,2021-01-01T00:03:15.444Z,2023-12-31T23:52:04.481Z,0.282227345,0.450083404,0,0,0,1,1,2
76,1f2f7881_0dff_4580_91cb_93cca0cda361,Operating_Mode_Status,143514,2021-01-01T00:03:15.468Z,2023-12-31T23:52:04.518Z,0.979096116,0.143062614,0,1,1,1,1,2
82,bf51d136_df9b_4c4d_8a55_385c021361c8,System_Status,143584,2021-01-01T00:03:15.536Z,2023-12-31T23:52:04.631Z,0.042623133,0.202005945,0,0,0,0,1,2
84,4e1f9452_b52f_4ce1_a36f_e8a5cc8c3a5d,Temperature_Setpoint,143511,2021-01-01T00:03:15.559Z,2023-12-31T23:52:04.668Z,10.28604079,9.995908196,0,0,20,20,20,2
85,dde1cb7b_a95b_4cdb_bd67_3e2fcf5d1cab,System_Enable_Command,143597,2021-01-01T00:03:15.570Z,2023-12-31T23:52:04.685Z,0.514014917,0.499803544,0,0,1,1,1,2
86,a392f1b0_0fc1_4721_af9d_846409414379,Proportional_Gain_Parameter,143475,2021-01-01T00:03:15.581Z,2023-12-31T23:52:04.704Z,5.144519951,4.997910962,0,0,10,10,10,2
